generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2800000,487,2681.85,-59997.4,474.912,0.439
2850000,492,2729.57,-59978.7,499.11,0.405
2900000,501,2824.65,-60033.9,446.104,0.407
2950000,495,2737.16,-60073.4,470.629,0.401
3000000,504,2727.59,-60025.2,499.35,0.408
3050000,510,2786.65,-59974.5,548.521,0.414
3100000,514,2818.3,-59914.3,495.747,0.402
3150000,492,2668.77,-59926.6,499.99,0.389
3200000,490,2690.64,-59996.2,451.765,0.399
3250000,477,2635.21,-59963.5,449.35,0.381
3300000,477,2616.03,-59929,516.158,0.395
3350000,481,2614.53,-60004.9,486.202,0.402
3400000,496,2732.89,-59994.5,464.8,0.394
3450000,470,2588.44,-59976.5,513.616,0.418
3500000,480,2660.96,-59993,434.402,0.401
3550000,500,2747.67,-60003.4,527.581,0.4
3600000,491,2720.68,-59992.4,448.132,0.401
3650000,508,2787.27,-59938,525.651,0.411
3700000,510,2801.25,-59922.6,507.206,0.401
3750000,498,2694.19,-59979.8,521.62,0.399
3800000,509,2811.08,-59949.6,497.873,0.436
3850000,495,2656.89,-59923.1,468.936,0.404
3900000,496,2688.38,-59911.2,480.507,0.406
3950000,531,2931.54,-59944.3,472.177,0.397
4000000,532,2917.06,-59969.2,519.5,0.409
4050000,553,3088.34,-59909.6,510.285,0.423
4100000,529,2956.64,-59905.9,520.795,0.411
4150000,514,2846.46,-59937.6,501.893,0.395
4200000,516,2811.02,-59929.6,543.45,0.396
4250000,484,2646.35,-59853.5,473.208,0.398
4300000,476,2590.03,-59934.7,461.185,0.428
4350000,505,2773.25,-59973.5,482.185,0.404
4400000,483,2661.04,-60019.6,494.295,0.423
4450000,477,2593.77,-60007.3,483.8,0.395
4500000,480,2601.53,-59956.2,473.383,0.386
4550000,472,2565.85,-59971.1,479.214,0.37
4600000,465,2618.3,-60078.4,458.234,0.394
4650000,532,2900.55,-59907,498.517,0.397
4700000,557,3048.41,-59859.1,566.435,0.38
4750000,489,2702.67,-60042.4,478.047,0.406
4800000,533,2914.82,-59908.8,539.853,0.385
4850000,538,2930.89,-59872.9,528.795,0.413
4900000,563,3117.88,-59917,535.878,0.417
4950000,574,3131.13,-59909.4,553.014,0.418
5000000,569,3140.18,-59893.9,574.55,0.405
5050000,575,3183.41,-59915.2,560.336,0.439
5100000,561,3108.53,-59954.3,570.902,0.405
5150000,546,3014.78,-59874.9,509.491,0.394
5200000,571,3117.81,-59896.3,600.091,0.413
5250000,548,3029.37,-59933.4,511.061,0.42
5300000,504,2753.41,-59935.6,526.124,0.402
5350000,478,2671,-59917.9,442.37,0.404
5400000,494,2772.76,-59925,517.228,0.387
5450000,489,2717.89,-59949.4,497.62,0.397
5500000,476,2699.34,-59945.7,470.547,0.384
5550000,510,2823.18,-59917.3,473.727,0.411
5600000,534,2957.59,-59886.2,535.052,0.391
5650000,533,2931.34,-59922.8,560.48,0.419
5700000,508,2770.16,-59906.1,524.61,0.423
5750000,501,2753.96,-59956,511.33,0.412
5800000,474,2595.26,-59959.1,483.309,0.409
5850000,460,2548.58,-59982.6,426.886,0.4
5900000,442,2407.49,-59930.7,396.265,0.432
5950000,451,2442.93,-59928.7,406.723,0.387
6000000,462,2524.55,-59946.5,422.683,0.403
6050000,473,2588.84,-60017.5,437.668,0.415
6100000,469,2596.1,-59996.6,464.71,0.4
6150000,504,2782.06,-59980.6,457.872,0.394
6200000,495,2712.74,-59963.7,477.372,0.39
6250000,506,2792.26,-59919.5,534.871,0.401
6300000,526,2912.28,-59948.9,499.401,0.423
6350000,489,2684.97,-59968.5,495.329,0.398
6400000,523,2851.95,-59924.8,506.298,0.419
6450000,520,2816.44,-59898.3,539.709,0.397
6500000,529,2861.41,-59911.5,533.956,0.376
6550000,545,2993.44,-59912.8,560.188,0.392
6600000,539,2919.94,-59927.2,535.896,0.402
6650000,518,2907.35,-59907.8,510.487,0.399
6700000,487,2752.62,-59954.6,501.759,0.406
6750000,442,2503.12,-59972,462.016,0.376
6800000,452,2527.62,-60005.5,426.895,0.387
6850000,485,2745.7,-60032.5,459.099,0.426
6900000,485,2706.47,-60024,473.239,0.397
6950000,467,2579.42,-59989.4,453.561,0.393
7000000,438,2429.94,-59961.3,442.414,0.393
7050000,456,2527.62,-59950.5,454.846,0.385
7100000,446,2513.94,-60010.5,434.671,0.409
7150000,468,2606.78,-60036.2,455.848,0.413
7200000,457,2546.28,-59989.9,421.464,0.4
7250000,460,2564.86,-59988.5,466.398,0.413
7300000,468,2571.71,-60083.5,468.605,0.41
7350000,470,2646.7,-60071.4,429.385,0.405
7400000,462,2546.66,-60084.5,457.265,0.397
7450000,422,2363.37,-60031.3,399.681,0.40225
7500000,450,2479.61,-60099.4,439.445,0.400436
7550000,448,2491.2,-59955.3,489.636,0.418
7600000,453,2549.02,-60061.2,465.979,0.3975
7650000,462,2583.63,-59986.5,456.117,0.398286
7700000,457,2556.1,-60015.8,449.573,0.365
7750000,460,2514.93,-59943.9,447.363,0.394
7800000,461,2583.01,-59993.5,447.457,0.396
7850000,458,2520.1,-60003.5,458.356,0.388
7900000,427,2349.29,-60049.1,402.844,0.399
7950000,438,2416.99,-59992.5,412.575,0.379
8000000,445,2469.45,-60035.3,420.759,0.407
8050000,459,2509.17,-59972.8,468.556,0.4
8100000,488,2689.96,-59996.2,467.501,0.387
8150000,466,2600.2,-59993.3,442.157,0.399
8200000,416,2300.14,-60052.3,413.328,0.395139
8250000,439,2424.8,-59996.5,433.658,0.393
8300000,449,2519.39,-60031.6,434.871,0.399
8350000,423,2356.35,-60019.5,429.589,0.426
8400000,419,2319.1,-60018.7,407.898,0.379
8450000,434,2397.11,-59995.7,438.214,0.389
8500000,411,2280.17,-59998.5,414.816,0.4
8550000,430,2410.4,-60015.7,430.125,0.364
8600000,395,2198.69,-60006.6,371.388,0.366
8650000,443,2452.31,-60015.1,425.34,0.389
8700000,456,2529.1,-59993.6,445.107,0.396625
8750000,484,2690.96,-59972.9,512.205,0.398
8800000,467,2575.64,-59967.6,413.463,0.433
8850000,481,2647.56,-60012.3,468.457,0.434
8900000,463,2512.85,-59994.8,458.783,0.392
8950000,489,2689.48,-59978.2,498.502,0.426
9000000,507,2830.37,-59912.9,465.341,0.401
9050000,501,2797.86,-59938.8,512.428,0.42
9100000,530,2908.55,-59911,513.331,0.383
9150000,516,2867.3,-59904.8,495.834,0.376
9200000,499,2758.89,-59886.6,503.316,0.41
9250000,515,2832.87,-59938,477.231,0.403
9300000,492,2676.92,-59951.2,459.344,0.38
9350000,492,2756.44,-59949.4,453.491,0.402
9400000,470,2618.68,-59983.9,463.316,0.383
9450000,464,2559.87,-60014.8,436.981,0.416
9500000,475,2656.61,-60018.9,445.691,0.393
9550000,493,2759.12,-59958.6,490.351,0.419
9600000,503,2758.9,-59949.7,503.737,0.431
9650000,515,2848.26,-59929.4,480.52,0.44
9700000,556,3051.91,-60055.9,568.161,0.422
9750000,529,2979.53,-59962.5,492.226,0.419
9800000,530,2917.92,-59978.6,530.92,0.4
9850000,505,2735.39,-60001.9,504.017,0.391
9900000,499,2790.29,-60010.5,469.285,0.425
9950000,466,2581.65,-60043.3,462.279,0.41
10000000,489,2718.63,-59982.8,464.545,0.4
10050000,491,2697.93,-59947.5,502.233,0.394
10100000,485,2651.14,-59971.2,459.48,0.403
10150000,483,2648.48,-59996,433.541,0.393
10200000,490,2680.84,-59970.2,492.102,0.416
10250000,472,2595.3,-59995,414.592,0.39
10300000,460,2571.04,-59998.6,482.355,0.406
10350000,462,2583.26,-60005.4,431.292,0.395
10400000,454,2518.76,-59958.9,433.944,0.384
10450000,462,2565.74,-59995.1,471.336,0.387
10500000,454,2515.3,-59989.7,447.334,0.392
10550000,443,2464.85,-59980.4,454.461,0.395
10600000,438,2406.95,-60043.8,448.248,0.386
10650000,440,2396.19,-60056,445.254,0.414
10700000,430,2361.39,-60055.6,438.081,0.395
10750000,445,2456.3,-60079,431.876,0.367
10800000,456,2525.01,-60034,457.031,0.427
10850000,453,2540.77,-60048.1,414.775,0.4
10900000,455,2484.55,-60021.4,426.95,0.402
10950000,485,2694.13,-59934.3,480.094,0.404
11000000,515,2867.17,-59940,521.174,0.423
11050000,505,2780.32,-59970.2,523.092,0.409
11100000,503,2763.53,-59900.8,468.303,0.403
11150000,502,2797.49,-59987.3,497.129,0.414
11200000,517,2831.47,-59945.5,469.302,0.425
11250000,518,2839.26,-59963.5,503.823,0.431
11300000,466,2573.42,-59960.4,440.387,0.405
11350000,434,2404.27,-59998.1,422.089,0.422
11400000,452,2503.25,-59995.9,455.357,0.39
11450000,439,2402.54,-60027.9,424.907,0.394
